title,time,likes,stars,info
去负债20万单亲妈妈那秀优越，图啥？,1天前, 0, 1,小红书上有个 30 岁的妈妈，说因为丈夫是个赌鬼，欠了不少债，坚决和丈夫离婚了。但因为婚姻期间的债务要共同负担，所以她也连带欠了 20 万。 身负 20 万的债务、工作收入不高、没...
白酒的价格竞争,1天前, 0, 0,品牌力可以让酒企拥有提价权，同样的，提价也能让酒企提升品牌力，这是良性循环，但前提是企业的品牌力能够支撑它的提价，否则提价后影响了销量，对企业反而是个伤害，就像东阿阿胶，你一路提价...
基金公司赚钱，基民不赚钱，谁来背锅？,1天前, 0, 0,@持有封机：今天早上我根据天天基金网的数据统计了一下，在今年有数据的 7204 只混合基金中，盈利的只有 3665 只，中位数只有 0.08% 了，今天我粗粗看了几个基金的预估，似...
因为一次性刷很多鞋而被老师认为我被校园霸凌,1天前, 0, 1,我高中是寄宿的，刷鞋要自己刷，但是我懒的一双一双的刷鞋，所以每次都是攒五六双六七双鞋，实在没有鞋可穿的时候再挑一天一次性刷完。 某一次我正在愉快的刷鞋们，可能是耗费的时间比较长，宿...
一个媒婆分享的一个女生相亲要求,1天前, 0, 0,@杭州金融女民工：粉丝群里看到一个媒婆分享的一个女生相亲要求的视频。 坐标是浙江某三线小城市。 女生自身条件如下： 1、28 岁； 2、学历为全日制本科（非 985 非 211）；...
在时也，命也面前，个人的努力不值一提,1天前, 0, 0,@天涯历知幸：我以前在银行工作的时候，同事有一个客户，中年男性，搞工程的，熟了以后，挺喜欢和我们聊天的。他出生于 70 年代的苏北农村，家里穷的叮当响，初中没毕业，就跑到南京来讨生...
80后是当下中国的中坚力量，但普遍来看他们的境况并不那么让人乐观,1天前, 0, 0,@Herbiewu：最近和几拨 80 后朋友们分别交流了一下，颇有感叹。80 后是当下中国的中坚力量，但普遍来看他们的境况并不那么让人乐观，很多甚至可以用苦逼来形容。 80 后是独...
共和国长子的 “中年突围”,1天前, 0, 3,随便跟大家聊聊东北，主要是我看书的一些想法，还有所见的一些心得，不一定对，大家批判着看。 关于东北，有三个问题： 那地方之前就是边疆地区，后来怎么突然间成了中国工业的中心？ 后来怎...
把相亲当做一项研究工作来做，让人服气,1天前, 0, 0,@皇城根下刀笔吏：把相亲当做一项研究工作来做，让人服气。这个帖子的内容，是否属实，我不太确定，不过我以前听说一个男生，为了结婚找对象，大概相了一两百个人。他本人长得不算帅，但是在找...
一个五线城市的自我求生。,1天前, 0, 1,百姓安居乐业就是文明进步
实在是不好看，大家别去搜了,1天前, 0, 0,null
斗鱼的午夜福利看来要完了。 ​​​,1天前, 0, 0,null
这就是新中国的一个历史缩影,1天前, 0, 2,2014放开二胎，短暂的提高了出生率。其它的不多说自己看。
一把尺量遍天下人，唯独不量自己。,1天前, 0, 2,我没有说第一张图是正确的哦，我希望任何事情我们只分对错，别分性别。
